Skill Name	Skill Type	Hexadecimal	Decimal
Agi	Fire 	1	1
Agilao	Fire 	2	2
Agidyne	Fire 	3	3
Maragi	Fire 	4	4
Maragion	Fire 	5	5
Maragidyne	Fire 	6	6
Bufu	Ice 	7	7
Bufula	Ice 	8	8
Bufudyne	Ice 	9	9
Mabufu	Ice 	A	10
Mabufula	Ice 	B	11
Mabufudyne	Ice 	C	12
Zio	Elec 	D	13
Zionga	Elec 	E	14
Ziodyn	Elec 	F	15
MaZio	Elec 	10	16
MaZionga	Elec 	11	17
MaZiodyne	Elec 	12	18
Zan	Force 	13	19
Zanma	Force 	14	20
Zandyne	Force 	15	21
Mazan	Force 	16	22
Mazanma	Force 	17	23
Mazandyne	Force 	18	24
Megido	Almighty 	19	25
Megidola	Almighty 	1A	26
Megidolaon	Almighty 	1B	27
Hama	Expel 	1C	28
Hamaon	Expel 	1D	29
Mahama	Expel 	1E	30
Mahamaon	Expel 	1F	31
Mudo	Death 	20	32
Mudoon	Death 	21	33
Mamudo	Death 	22	34
Mamudoon	Death 	23	35
Dia	Healing 	24	36
Diarama	Healing 	25	37
Diarahan	Healing 	26	38
Media	Healing 	27	39
Mediarama	Healing 	28	40
Mediarahan	Healing 	29	41
Makatora	Support 	2A	42
Patra	Healing 	2B	43
Mepatra	Healing 	2C	44
Mutudi	Healing 	2D	45
Posumudi	Healing 	2E	46
Paraladi	Healing 	2F	47
Petradi	Healing 	30	48
Recarm	Healing 	31	49
Samrecarm	Healing 	32	50
Recarmdra	Healing 	33	51
Tarunda	Support 	34	52
Sukunda	Support 	35	53
Rakunda	Support 	36	54
Makakajam	Curse 	37	55
Makajamon	Curse 	38	56
Dekaja	Support 	39	57
Shibaboo	Nerve 	3B	59
Dormina	Mind 	3C	60
Pulinpa	Mind 	3D	61
Marin Karin	Mind 	3E	62
Tentarafoo	Mind 	3F	63
Tarukaja	Support 	40	64
Sukukaja	Support 	41	65
Rakukaja	Support 	42	66
Makakaja	Support 	43	67
Tetraja	Support 	44	68
Makarakarn	Support 	45	69
Tetrakarn	Support 	46	70
Analyze	Special 	47	71
Trafuri	Special 	48	72
Estoma	Special 	49	73
Riberama	Special 	4A	74
Liftoma	Special 	4B	75
Lightoma	Special 	4C	76
Dekunda	Support 	4D	77
Pestilence	Almighty 	4F	79
Lunge	Physical 	60	96
Hell thrust	Physical 	61	97
Berserk	Physical 	62	98
Tempest	Physical 	63	99
Hades Blast	Physical 	64	100
Heat Wave	Physical 	65	101
Blight	Physical 	66	102
Brutal Slash	Physical 	67	103
Hassohappa	Physical 	68	104
Dark sword	Physical 	69	105
Stasis Blade	Physical 	6A	106
Mighty Gust	Physical 	6B	107
Death bound	Physical 	6C	108
Guillotine	Physical 	6D	109
Chaos Blade	Physical 	6E	110
Needle Rush	Physical 	6F	111
Stun Needle	Physical 	70	112
Toxic Sting	Physical 	71	113
Arid Needle	Physical 	72	114
Sacrifice	Explode 	73	115
Kamikaze	Explode 	74	116
Feral Bite	Physical 	75	117
Venom Bite	Physical 	76	118
Charm Bite	Physical 	77	119
Stone bite	Physical 	78	120
Stun Bite	Physical 	79	121
Hell fang	Physical 	7A	122
Feral Claw	Physical 	7B	123
Venom Claw	Physical 	7C	124
Stun Claw	Physical 	7D	125
Iron Claw	Physical 	7E	126
Godly Light	Expel 	7F	127
Deadly Fury	Physical 	83	131
Xeros-Beat	Physical 	85	133
Divine Shot	Physical 	88	136
Javelin Rain	Physical 	8F	143
Oni-Kagura	Physical 	90	144
Freikugel	Almighty 	93	147
Last Resort	Explode 	98	152
Foul Havoc	Rage	99	153
Earthquake	Physical 	9B	155
Holy Melody	Special 	9E	158
Evil Melody	Special 	9F	159
Spiral Viper	Physical 	A0	160
Magma axis	Fire 	A1	161
Gaea	Rage	A3	163
Tentacle	Rage	A8	168
Fire breath	Fire 	B0	176
Hellfire	Fire 	B1	177
Prominence	Fire 	B2	178
Ragnarok	Fire 	B3	179
Ice breath	Ice 	B4	180
Glacial Blast	Ice 	B5	181
Shock	Elec 	B6	182
Bolt Storm	Elec 	B7	183
Wing Buffet	Force 	B8	184
Tornado	Force 	B9	185
Wind Cutter	Force 	BA	186
Wet Wind	Force 	BB	187
Thunder clap	Expel 	BC	188
Holy Wrath	Expel 	BD	189
Deathtouch	Almighty 	BE	190
Mana Drain	Almighty 	BF	191
Life Drain	Almighty 	C0	192
